Id	Year	Genre
0	1997	Comedy
1	1997	Comedy|Drama
2	1998	N/A
3	1986	Drama|Romance
4	1998	Drama|Romance
5	1997	Drama|War
6	1986	Drama
7	1955	Western
8	N/A	Comedy|Musical
9	1997	Action|Romance|Thriller
10	1968	Drama|War
11	1971	N/A
12	1985	Comedy
13	1973	Animation|Children's
14	1996	Documentary|Drama
15	1999	Comedy|Romance
16	1946	Drama|War
17	1997	N/A
18	1988	N/A
19	1999	Horror|Thriller
20	N/A	Horror
21	1936	Thriller
22	1996	Drama|Musical
24	1952	Western
25	1995	Comedy|Drama
26	1996	Children's|Comedy
27	1996	Action
28	1998	Comedy|Drama|Romance
29	1998	Drama
30	1987	Drama
31	1995	Comedy|Drama|Romance
32	1999	Comedy
33	1996	Comedy
34	1979	Comedy
35	1968	Drama
36	1996	Comedy|Drama
37	1995	Drama
38	1996	Drama
39	1972	Action|Adventure
40	1994	Comedy
41	1998	Drama
42	1999	Horror
43	1953	N/A
44	1995	Children's|Comedy|Drama
45	1999	Horror|Romance
46	1984	Drama|Film-Noir
47	1989	Comedy|Drama
48	1987	Action|Adventure|Sci-Fi
49	1959	Action|Adventure|Drama
50	1976	Drama|Thriller
51	1994	Action|Adventure|Animation|Children's|Fantasy
52	1984	Drama
53	1996	Adventure|Children's|Comedy
54	1946	Western
55	1998	Drama|Mystery
56	1995	Drama
57	1978	Comedy|Western
58	1997	Comedy
59	1998	N/A
60	1986	Drama
61	1969	Horror
62	1998	Adventure|Sci-Fi|Thriller
63	1999	Thriller
64	1998	Comedy|Romance
65	1980	Horror
66	1999	N/A
67	N/A	Comedy
68	1937	Comedy|Musical
69	1996	Children's|Comedy
70	1948	Adventure
71	1990	Drama
72	1961	Drama
73	1994	Drama
74	1999	Drama
75	1994	Action|Children's
76	N/A	Drama
77	1998	Comedy
78	1984	Drama
79	1985	Drama
80	1944	Film-Noir|Thriller
81	N/A	Drama
82	1997	Adventure|Thriller
83	1986	Comedy|Western
84	1950	Children's|Drama
85	1996	Comedy|Romance
86	N/A	N/A
87	1973	Crime|Drama
88	1998	Drama
89	1962	Horror|Thriller
90	N/A	Thriller
91	1998	Thriller
92	1986	Action|Adventure|Drama
93	1986	Comedy|Drama
94	N/A	Drama
95	1995	Drama
96	1995	Drama
97	1996	Action|Adventure
98	1929	Musical
99	1995	Horror
100	1990	Drama|Romance
101	2000	Drama
102	1949	Mystery|Thriller
103	1951	Animation|Children's|Musical
104	1983	Horror|Thriller
105	1994	Drama
106	1962	Adventure|Children's
107	1976	Horror
108	1976	Horror
109	1999	Comedy
110	N/A	Romance
111	1963	Drama
112	1999	Action|Thriller
113	1993	Mystery|Romance|Thriller
114	1978	Thriller
116	1995	Documentary
117	1998	Drama|Romance
118	1991	Drama|Sci-Fi
119	1997	Comedy
120	1994	Drama
121	1995	Drama
122	1976	N/A
123	1992	Drama
124	1992	Action|Thriller
125	1996	Crime|Drama
126	N/A	N/A
127	1996	Drama
128	1997	N/A
129	1995	Drama|Romance
130	1987	Adventure|Children's
131	1961	N/A
132	1996	Crime|Drama
133	1982	Comedy
134	1959	N/A
135	1945	Animation|Children's|Musical
136	1996	Comedy
137	1955	N/A
138	1974	Drama
139	1944	N/A
140	1948	Crime|Drama|Film-Noir|Thriller
141	1970	Action|Sci-Fi
142	N/A	Action|Adventure|Sci-Fi
143	1957	Sci-Fi
145	1984	Action|Horror|Sci-Fi
146	1999	Drama
147	1988	Documentary
148	1995	N/A
149	1981	Horror
150	1994	Drama
151	1999	Horror|Sci-Fi
152	1965	Thriller
153	N/A	Mystery|Sci-Fi
154	1966	Drama|Mystery
155	1999	Comedy|Romance
156	1986	N/A
157	1994	Drama
158	1999	Action|Sci-Fi|Thriller
159	1988	Comedy
160	1960	Children's|Drama
161	1998	Comedy|Thriller
162	1975	Drama
163	1993	N/A
164	1974	Action|Drama
165	1925	Comedy
166	N/A	Action|Adventure|Romance|War
167	1992	Horror
168	1993	Drama
169	1996	Drama
170	1959	Drama
171	1988	Drama
172	1967	Comedy|Drama
173	1985	Drama
174	1992	Action|Thriller
175	N/A	Thriller
176	N/A	Adventure
177	1998	Comedy|Romance
178	1975	Adventure|Children's|Fantasy
179	1993	Comedy
180	1988	Adventure|Animation|Sci-Fi|Thriller
181	1996	N/A
182	1988	Horror
183	1941	Comedy|Romance
184	1997	Action|Comedy
185	1947	Film-Noir
186	1970	N/A
187	1979	Action|Romance|Sci-Fi
188	1997	Drama|Romance
189	1995	Drama
190	1999	Comedy|Drama
191	N/A	Crime|Thriller
192	1987	Thriller
193	1999	Comedy|Drama
194	N/A	Documentary
195	1999	Drama
196	1998	Drama
197	N/A	Action|Adventure|Drama|Thriller
198	1996	Drama
199	1985	Drama
200	1979	Comedy|Drama|Romance
201	1997	Comedy|Crime|Drama
203	1999	Drama
204	1978	Children's|Sci-Fi
205	1994	Comedy
206	1992	Animation|Children's|Comedy|Musical
207	1996	Comedy
208	N/A	Comedy
209	1997	Adventure|Animation|Children's|Comedy|Musical
210	1986	Adventure
211	1996	Drama|Romance
212	1978	Animation|Children's|Drama|Fantasy
213	1981	N/A
214	1995	Animation|Children's
215	1998	Documentary|Drama
216	2000	Comedy
217	1980	Crime|Drama|Romance
218	1996	Drama
219	1936	Mystery
220	1996	Thriller
221	1998	Drama
222	1981	Action|Drama|War
223	1994	Comedy
224	1979	Comedy
225	1998	Action|Drama|Thriller
226	1996	Drama|Thriller
227	1997	Action
228	1989	Action|Adventure
229	1993	Action|Thriller
230	1990	Thriller
231	1937	Animation|Children's|Musical
232	1996	Drama
233	N/A	Animation|Sci-Fi
234	N/A	Comedy
235	1988	Action|War
236	1999	Comedy
237	1968	Crime|Drama|Thriller
238	1981	Horror
239	1994	Romance
240	1998	Comedy|Drama|Romance
241	1982	Comedy
242	1996	Action|Drama|Western
243	1994	Drama
244	1960	Comedy|Horror
245	1987	Comedy|Fantasy
246	1993	Drama
247	1998	Romance
248	N/A	Comedy|Thriller
249	1993	Horror|Sci-Fi
250	1985	Drama
251	1999	Action|Crime
252	1996	Drama
253	1964	N/A
254	1986	Drama
255	1994	Horror|Thriller
256	1995	Comedy|Drama
257	2000	Romance|Thriller
258	N/A	N/A
259	1985	Comedy
260	1989	Drama|Romance
261	1997	Action|Drama|Thriller|War
262	1994	Children's|Comedy
263	1994	Drama
264	1995	Documentary
265	1995	Comedy
266	1999	N/A
267	1933	Horror|Sci-Fi
268	1995	Drama
269	1948	Animation|Children's|Musical
270	1973	Action|Sci-Fi
271	1975	Drama|Musical
272	1995	Documentary
273	1999	Drama
274	1951	Sci-Fi
275	1994	Horror
276	1992	Comedy
277	1997	Thriller
278	1999	Thriller
279	1994	Comedy
280	1993	Drama
281	1999	N/A
282	1988	Drama|Thriller
283	1990	Comedy|Romance
284	1968	Animation|Children's
285	1986	Comedy|Horror
286	1985	Drama
287	1995	Drama
288	1982	N/A
289	1986	Drama
290	1958	Musical
291	1995	Drama
292	1998	Comedy
293	1986	N/A
294	1956	Horror|Sci-Fi
295	1995	Crime|Drama|Thriller
296	1982	Horror|Sci-Fi
297	1997	N/A
298	1994	Children's|Comedy
299	N/A	Sci-Fi
300	1982	Action|Adventure|Sci-Fi
301	1995	Drama|Romance
302	1998	Action|Thriller
303	1936	Comedy
304	1999	Romance
305	1986	Drama|Thriller
306	N/A	Drama|Mystery|Thriller
307	1997	Comedy|Romance
309	1981	Comedy
310	2000	Action|Adventure|Fantasy
311	1980	Drama
312	1998	Children's|Drama
313	1994	Drama
314	N/A	Comedy
315	1996	Drama|Thriller
316	1995	N/A
317	1985	Drama
318	1995	Action|Adventure|Thriller
319	1995	Comedy
320	1982	Comedy
321	2000	Comedy
322	1994	Drama|Horror
323	1998	Comedy
324	1956	Adventure|Comedy
325	N/A	Adventure|Children's
326	1951	Musical
327	1933	N/A
328	1964	Comedy
329	1985	Adventure|Sci-Fi
330	N/A	Crime|Mystery
331	1999	N/A
332	1991	Drama
333	1994	Comedy
334	1995	Comedy|Romance
335	1996	Documentary
336	1996	Children's|Comedy
337	N/A	Comedy|Sci-Fi
338	2000	Drama
339	1994	Documentary|Drama
340	1997	Drama|Thriller
341	1984	Comedy
342	1995	Comedy|Drama
343	1995	Adventure|Children's
344	1994	Comedy|Drama
345	N/A	Adventure|Children's
346	1994	Drama
347	N/A	N/A
348	1989	Comedy
349	1923	Drama
350	1994	Comedy
351	1995	Action|Drama
352	N/A	N/A
353	1993	Action|Comedy
354	N/A	Drama|Romance
355	1994	Comedy
356	1985	Western
357	1996	Drama
358	1991	Comedy
359	1983	Comedy|Drama
360	1997	Crime|Horror|Mystery|Thriller
362	1970	Drama
363	N/A	Action
364	1995	Action|Adventure|Romance
365	1997	Action|Mystery|Romance|Thriller
367	1994	Comedy
368	1968	Children's|Comedy
369	1998	Action|Comedy|Crime|Drama
370	1993	Western
372	1995	Action
373	1992	Comedy|Horror
374	1997	N/A
375	1993	Drama
376	1972	Action|Crime
377	1998	Documentary|Musical
378	1999	N/A
379	2000	Action|Thriller
380	1992	Comedy
381	1998	Drama
382	N/A	Action|War
383	1991	Comedy|War
384	1991	Horror|Sci-Fi|Thriller
385	1995	Drama
386	1997	Action|Comedy|Crime
387	1976	Drama
388	1995	Comedy
389	1949	Musical
390	1987	Comedy|Horror
391	1972	Western
392	1950	Comedy
393	1995	Action
394	1993	Comedy
395	1941	Comedy|Musical
396	1995	Drama
397	1993	Drama|Romance
398	N/A	Comedy|Romance
399	1994	Drama
400	1940	N/A
401	1996	Comedy
402	1961	Comedy|Drama|Western
403	1968	N/A
404	N/A	Drama|Thriller
405	N/A	Horror
406	1998	Comedy|Drama|Romance
407	1997	Drama
408	N/A	Comedy|Fantasy
409	1948	Thriller
410	1994	Drama|Romance
411	1993	Drama
412	1978	N/A
413	1999	Drama
414	1999	Action|Adventure
415	1941	N/A
416	1998	Comedy|Crime
417	1969	Children's|Comedy
418	1995	Action|Crime|Drama
419	1988	Animation|Children's
420	1998	Comedy
421	1963	Horror|Thriller
422	1992	Comedy|Drama
423	1997	Drama
424	1998	N/A
425	1997	Thriller
426	1997	Children's|Comedy
427	1987	Action|Crime|Drama
428	1996	Action|Crime
429	1926	Thriller
430	1995	Action|Drama|Thriller
431	1971	Drama
432	1985	Action|Adventure
433	N/A	Comedy
434	1997	Documentary
435	1997	Action
436	1934	Comedy|Musical|Romance
437	1986	Horror
438	1948	Comedy|Drama
439	1996	Drama
440	1995	Comedy
441	N/A	Horror
443	N/A	Horror
444	1987	Comedy
445	1984	Drama
446	1996	Action|Thriller
447	2000	Drama
448	1937	Drama|Musical
449	1998	Action|Adventure
450	1965	Children's|Comedy|Mystery
451	1937	N/A
452	1994	Drama|Musical
453	1986	Drama
454	1999	Drama
455	N/A	Drama
456	1993	Comedy|Romance
457	1994	Comedy|Drama
458	1998	N/A
459	1998	Comedy
460	1996	Comedy
461	1995	N/A
462	N/A	Action|Sci-Fi
463	1991	Drama|Mystery
464	1997	Action|Drama|Thriller
465	1995	Comedy|Romance
466	1987	Comedy
467	1996	N/A
468	2000	Drama
469	2000	Horror
470	1985	Action|Adventure|Drama
471	2000	N/A
472	1984	Comedy|Romance
473	1990	Drama
474	1962	N/A
475	2000	Comedy|Romance
476	1995	Children's|Comedy
477	1982	N/A
478	1995	Drama|War
479	1999	N/A
480	1999	Comedy
481	1955	Animation|Children's|Comedy|Musical|Romance
482	1996	Action|Comedy|Sci-Fi|War
483	1993	Film-Noir|Thriller
484	N/A	Action|Adventure|Thriller
485	1999	Drama
486	1994	N/A
487	1994	N/A
488	N/A	Thriller
489	N/A	Drama|Romance
490	2000	Drama|Thriller
491	1995	Drama|Romance
492	1997	Animation
493	1994	Comedy
494	N/A	N/A
495	1994	Horror|Sci-Fi|Thriller
496	1999	Drama
497	N/A	Crime|Thriller
498	1995	Drama
499	1994	Drama
500	1981	Comedy
501	1987	Drama|Romance
502	1988	Comedy|Drama
503	1932	Comedy|Romance
504	1968	War
505	1934	Comedy
506	1983	Comedy
507	1998	Action|Thriller
508	1996	Action|Sci-Fi|Thriller
509	1992	N/A
510	1994	Comedy
511	1999	Action|Sci-Fi|Thriller
512	N/A	Drama|Mystery
513	1999	Comedy|Fantasy
514	1995	N/A
515	1974	Horror
516	1998	Crime|Drama|Thriller
517	N/A	Comedy
518	1998	Comedy
519	1995	Thriller
520	1996	Comedy
521	1989	Drama|War
522	1999	Documentary
523	1998	Comedy
524	1990	Action|Crime
525	1942	Horror
526	1974	Action|Adventure
527	1996	Drama|Thriller
528	1995	Action|Crime|Thriller
529	1998	Drama|Romance
530	1995	Comedy
531	1999	Drama
532	1999	Action|Horror|Thriller
533	1995	Comedy|Drama
534	1944	Comedy
535	1996	Comedy|Drama
536	1998	Documentary
537	1995	Drama|War
538	1984	Action|Adventure|Sci-Fi
539	1959	Drama
540	1951	Drama|Romance
541	1989	Action
542	1986	N/A
543	1985	N/A
544	N/A	Comedy
545	N/A	Drama|Thriller
546	1979	Action|Sci-Fi
547	1993	Crime|Drama
548	1931	Comedy|Drama|Romance
549	N/A	Comedy|Horror
550	N/A	Comedy|Horror
551	1966	Thriller
552	1985	Adventure|Sci-Fi
553	1980	Action|Comedy|Musical
554	1987	Thriller
555	N/A	Comedy|Thriller
556	1998	Animation|Children's|Comedy
557	1986	Drama|Mystery
558	1995	Crime|Drama|Thriller
559	1978	Thriller
560	2000	Comedy|Drama
561	N/A	Comedy|Drama
562	1952	Musical|Romance
563	1982	Drama
564	1999	Drama|Romance
565	1994	Documentary
566	N/A	Drama|Romance
567	1997	Drama
568	1989	Horror
569	1994	Action|Comedy
570	1995	Children's|Drama
571	N/A	Action|Comedy
572	1998	Crime
573	1994	Documentary
574	1998	Horror|Sci-Fi
575	1962	N/A
576	2000	N/A
577	1995	Animation|Comedy|Thriller
578	1993	N/A
579	N/A	Sci-Fi
580	N/A	Children's|Drama
581	1966	Comedy|Romance
582	1996	Comedy|Horror
583	1958	N/A
584	1998	Comedy
585	1995	Horror
586	1994	Comedy|Drama
588	1996	Drama|Horror
589	N/A	Comedy
590	1994	Comedy|Drama
591	1997	Comedy
592	1996	Drama
593	1996	Drama
594	1999	Crime
595	1998	N/A
597	1997	Crime
598	1996	Comedy
600	1992	Comedy
601	1991	Comedy
602	1982	Animation|Sci-Fi
603	1945	Mystery|Romance|Thriller
604	1992	Drama
605	1980	Horror
606	N/A	Drama
607	1995	Drama
608	1993	Comedy
609	1998	Drama
610	1994	Comedy|Romance
611	1993	Drama
612	N/A	N/A
613	1993	Drama|Mystery|Romance
614	1995	Comedy|Drama
615	N/A	Action|War
616	1995	Romance
617	1933	Comedy|Musical
618	1988	Action|War
619	1998	Comedy
620	1959	Drama|Mystery
621	1950	Film-Noir
622	1997	N/A
623	1996	Horror
624	1999	Crime|Drama
625	N/A	Thriller
626	2000	Drama|Thriller
627	1996	Drama
628	N/A	Comedy|Romance
629	1999	Drama
630	1988	N/A
631	1954	Sci-Fi|Thriller|War
632	1995	Drama
633	N/A	Horror
634	1998	N/A
636	1999	Drama
637	1944	Comedy|Mystery|Thriller
638	1999	Comedy|Romance
639	1957	Comedy|Drama
640	1999	Comedy
641	1998	Comedy|Romance
642	1992	Drama
643	1996	Comedy
644	1996	Documentary
645	N/A	Horror|Thriller
646	1994	Drama
647	1997	N/A
648	1988	Action|Adventure|Comedy|Crime
649	1998	Animation|Children's
650	2000	Comedy
651	1986	Horror
652	N/A	Drama|War
653	1941	N/A
654	1999	Action|Adventure|Horror|Thriller
655	1998	Drama
656	1953	Drama|Thriller
657	1984	Fantasy|Sci-Fi
658	1977	Horror
659	1947	Drama
660	1973	N/A
661	1992	N/A
662	1975	Adventure
663	1995	N/A
664	N/A	N/A
665	1979	Drama
666	1998	Drama
667	1997	Drama
668	1996	Comedy
669	1996	Comedy|Romance
670	1997	Drama
671	1991	Drama
672	1995	Drama
673	N/A	Drama
674	1999	Drama
675	N/A	N/A
676	1998	Action|Children's
677	1993	Comedy
678	1987	Horror
679	1995	Drama
680	1995	Drama
681	1940	Animation|Children's
682	1967	Western
683	1996	Action|Thriller
684	1949	Musical
685	1998	N/A
686	1994	Comedy
687	1964	Drama|Musical
688	1998	Comedy
689	1961	N/A
690	N/A	Drama
691	N/A	Sci-Fi
692	1953	N/A
693	1995	Drama
694	1998	Drama
695	1982	Children's|Fantasy|Sci-Fi
696	1980	Comedy
697	1954	Crime|Drama
698	N/A	Mystery|Thriller
699	1999	Comedy
700	1995	Comedy|Romance
701	1996	Documentary
702	1997	Comedy|Crime|Drama|Mystery
703	1994	Western
704	1988	Comedy
705	1995	Drama|Romance
706	1986	N/A
707	N/A	Horror
708	1999	Comedy|Romance
709	1998	Comedy|Romance|Sci-Fi
710	1998	Comedy|Romance
711	1992	Drama
712	N/A	Documentary
713	1926	Comedy
714	1981	N/A
715	1999	N/A
716	1985	Thriller
717	1986	Drama
718	1996	Comedy
719	1995	Action|Sci-Fi|Thriller
720	1922	Drama
721	1990	Comedy
723	1976	Comedy
725	1996	Comedy|Musical
726	1936	Drama
727	N/A	Comedy|Drama|Romance
728	1995	Drama|Romance
729	1926	Drama
730	1996	Drama|Romance
731	1961	Drama
732	1999	Drama
