ID	Gender	Age	Occupation
0	M	50	7
1	M	25	17
2	M	25	6
3	M	25	7
4	M	1	19
5	M	25	17
6	N/A	25	17
7	F	18	4
8	M	N/A	7
9	N/A	N/A	2
10	M	35	7
11	F	35	2
12	M	18	2
13	N/A	35	20
14	M	35	6
15	M	1	10
16	F	35	N/A
17	M	1	10
18	F	25	15
19	F	50	16
20	M	35	14
21	M	35	12
22	M	25	0
23	M	50	7
24	M	N/A	14
25	M	N/A	N/A
26	M	35	20
27	M	1	1
28	F	25	11
29	F	45	1
30	M	18	N/A
31	M	56	6
32	M	45	17
33	M	18	0
34	F	45	0
35	M	35	12
36	M	45	7
37	M	56	12
38	F	35	N/A
39	N/A	56	13
40	M	25	0
41	F	25	5
42	M	25	4
43	F	25	3
44	M	35	1
45	N/A	N/A	4
46	M	N/A	7
47	M	35	1
48	N/A	25	N/A
49	F	N/A	7
50	F	35	17
51	F	45	N/A
52	M	25	20
53	M	N/A	13
54	M	25	N/A
55	M	50	6
56	M	25	19
57	N/A	N/A	0
58	M	25	4
59	N/A	50	7
60	M	18	4
61	F	25	0
62	M	56	7
63	M	25	3
64	M	25	7
65	F	25	2
66	F	18	2
67	M	25	N/A
68	M	56	13
69	N/A	18	16
70	M	35	N/A
71	F	18	4
72	M	18	1
73	M	18	4
74	M	35	17
75	M	56	1
76	F	35	1
77	M	18	4
78	F	25	3
79	F	18	0
80	M	18	N/A
81	M	N/A	17
82	F	N/A	1
83	M	25	N/A
84	F	56	0
85	M	18	2
86	M	18	1
87	M	18	17
88	M	50	7
89	N/A	50	3
90	F	45	17
91	N/A	25	7
92	N/A	18	7
93	F	25	3
94	F	45	7
95	F	25	N/A
96	F	50	N/A
97	M	35	4
98	F	25	14
99	F	25	N/A
100	F	18	4
101	N/A	1	10
102	N/A	56	0
103	M	35	14
104	M	25	0
105	M	18	4
106	M	N/A	0
107	M	N/A	1
108	M	N/A	12
109	F	25	1
110	M	25	2
111	M	35	17
112	F	25	14
113	M	25	12
114	M	18	1
115	F	25	7
116	F	25	20
117	M	50	11
118	F	18	0
119	M	35	13
120	F	25	1
121	F	18	0
122	F	25	N/A
123	M	25	14
124	F	35	17
125	N/A	35	11
126	M	25	7
127	F	35	11
128	F	1	N/A
129	M	56	20
130	N/A	25	4
131	F	18	4
132	M	18	4
133	F	18	4
134	M	25	7
135	N/A	25	17
136	M	18	4
137	M	18	4
138	M	56	7
139	N/A	35	7
140	F	N/A	12
141	F	35	2
142	F	N/A	4
143	M	35	2
144	F	25	6
145	F	18	19
146	F	50	3
147	M	18	2
148	M	N/A	4
149	M	25	20
150	M	N/A	17
151	M	56	20
152	N/A	35	1
153	M	56	13
154	M	35	N/A
155	F	45	1
156	M	25	17
157	M	18	0
158	M	35	20
159	M	56	0
160	F	25	20
161	M	45	16
162	M	N/A	2
163	M	45	0
164	M	25	17
165	F	25	N/A
166	F	25	17
167	M	1	10
168	M	18	16
169	M	35	17
170	N/A	45	7
171	M	56	13
172	M	35	1
173	F	35	6
174	M	25	20
175	M	18	4
176	F	35	7
177	F	50	6
178	N/A	N/A	20
179	F	25	1
180	F	18	4
181	F	18	1
182	M	25	16
183	N/A	25	16
184	M	N/A	14
185	F	35	3
186	N/A	25	7
187	M	25	5
188	N/A	35	6
189	M	25	12
190	M	N/A	17
191	M	25	12
192	M	50	14
193	M	50	1
194	F	35	7
195	F	25	7
196	M	45	17
197	M	18	0
198	F	1	10
199	M	35	15
200	M	45	7
201	F	25	20
202	F	25	7
203	M	25	12
204	M	35	14
205	N/A	25	6
206	M	18	0
207	M	25	14
208	F	35	14
209	M	35	3
210	M	25	N/A
211	N/A	18	11
212	M	1	10
213	M	25	17
214	M	18	4
215	M	45	19
216	M	18	N/A
217	N/A	25	7
218	M	1	10
219	M	35	2
220	M	56	13
221	M	18	4
222	F	25	1
223	M	35	15
224	F	25	4
225	M	25	N/A
226	F	25	1
227	N/A	N/A	N/A
228	M	35	11
229	M	56	16
230	F	25	12
231	M	50	7
232	M	56	17
233	M	35	1
234	F	35	9
235	F	18	N/A
236	F	35	2
237	F	56	2
238	F	N/A	3
239	M	25	17
240	F	45	1
241	M	18	17
242	M	35	17
243	F	45	2
244	M	25	20
245	M	56	0
246	M	56	16
247	F	35	3
248	F	35	16
249	M	N/A	4
250	M	25	4
251	F	25	0
252	M	N/A	5
253	M	25	17
254	M	35	1
255	N/A	35	1
256	F	25	7
257	M	25	1
258	M	45	17
259	M	25	2
260	N/A	35	12
261	M	25	N/A
262	M	25	12
263	M	N/A	4
264	M	N/A	7
265	M	N/A	3
266	M	45	N/A
267	M	35	12
268	M	25	12
269	M	18	14
270	M	45	17
271	F	N/A	0
272	F	35	12
273	M	50	13
274	F	25	2
275	M	N/A	N/A
276	M	N/A	7
277	M	25	12
278	M	25	12
279	M	18	17
280	M	N/A	7
281	M	18	N/A
282	M	25	0
283	M	25	7
284	M	N/A	N/A
285	M	N/A	4
286	F	18	4
287	F	45	1
288	M	18	4
289	F	25	9
290	N/A	25	N/A
291	F	56	13
292	M	25	17
293	M	50	N/A
294	F	45	6
295	M	56	13
296	M	50	13
297	M	45	17
298	N/A	18	20
299	M	N/A	2
300	F	18	4
301	M	25	12
302	M	56	20
303	M	35	N/A
304	N/A	35	12
305	M	35	12
306	M	35	6
307	M	25	2
308	M	18	4
309	M	18	4
310	F	18	4
311	M	N/A	2
312	M	25	0
313	M	35	18
314	M	25	12
315	F	18	4
316	M	N/A	0
317	M	18	4
318	M	18	4
319	M	56	N/A
320	M	N/A	10
321	M	N/A	7
322	M	N/A	1
323	M	18	12
324	M	25	N/A
325	F	50	20
326	M	25	15
327	M	35	7
328	F	35	9
329	M	25	12
330	M	35	5
331	F	25	0
332	N/A	45	14
333	M	56	0
334	M	25	0
335	F	25	4
336	M	18	6
337	M	25	16
338	F	18	2
339	M	50	4
340	F	18	4
341	M	18	16
342	M	25	0
343	M	25	14
344	M	18	12
345	F	35	1
346	F	35	12
347	F	1	10
348	M	25	12
349	F	25	3
350	M	56	1
